,m/z A,m/z B,Ranking,selected_total,charge_A,charge_B,explanation_A,explanation_B,parent_isotope_idx,isotopic_classification,deviation_A,deviation_B,deviation,theoretical_mass_A,theoretical_mass_B
264,353.194059,1531.742273,1084,3769.872664,2,2,y6,b27+2,1.99999999999991,b+2,0.002567999999882886,0.0180859999995846,0.021833999999216758,705.3777100000001,3062.4586200000003
4,705.381744,1021.496318,4,3769.8706979999997,1,3,b7+3,b27+2,1.99999999999991,"b+2, b+3",0.0875540000000683,0.014653999999609368,0.019867999998950836,705.29419,3062.4586200000003
265,353.194059,1531.742273,1084,3769.872664,2,2,b7+3,b27+2,1.99999999999991,"b+2, b+3",0.08608800000001793,0.0180859999995846,0.021833999999216758,705.29419,3062.4586200000003
30,703.291495,1181.644298,30,3769.871586,2,2,b13,y20+2,1.99999999999991,y+2,0.006320000000187065,0.013255999999273627,0.020755999999437336,1405.56883,2362.2675000000004
35,646.749278,1238.186551,36,3769.871658,2,2,b12,y21+2,1.99999999999991,y+2,0.005945999999994456,0.013701999999284453,0.020827999999255553,1292.48477,2475.3515600000005
54,759.833904,1125.10197,50,3769.8717479999996,2,2,b14,y19+2,1.99999999999991,y+2,0.007078000000092288,0.01265999999941414,0.02091799999880095,1518.6528899999998,2249.1834400000002
73,930.911752,954.02316,72,3769.869824,2,2,b17,y16+2,1.99999999999991,y+2,0.00884400000018104,0.008969999999862921,0.01899399999911111,1860.8068199999998,1907.02951
105,596.225094,1288.710943,109,3769.872074,2,2,b11,y22+2,1.99999999999991,y+2,0.005257999999912499,0.014805999999225605,0.02124399999911475,1191.4370900000001,2576.3992400000006
109,918.504816,966.430778,113,3769.871188,2,2,y15+2,b18,1.99999999999991,y+2,0.009391999999934342,0.00978600000030383,0.02035799999930532,1835.9924,1931.8439299999998
118,539.203433,1345.732827,129,3769.87252,2,2,b10,y23+2,1.99999999999991,y+2,0.0048659999999927095,0.015643999999156222,0.021689999999125575,1077.39416,2690.4421700000007
120,617.343855,1267.59262,133,3769.87295,2,2,y10+2,b23,1.99999999999991,y+2,0.005099999999856664,0.015839999999570864,0.022119999999176798,1233.67477,2534.16156
126,820.472043,983.1326,144,3769.8698430000004,1,3,y7+2,b26,1.99999999999991,y+2,0.0035729999998466155,0.014259999999922002,0.019012999999631575,820.4684700000001,2947.3678600000003
140,209.104503,1186.923542,167,3769.875129,1,3,b2,y31+2,1.99999999999991,y+2,0.0012329999999849406,0.021885999999540218,0.024298999999246007,209.10327,3558.7330600000005
145,845.396306,1233.682271,175,3769.8711889999995,3,1,b23,y10+2,1.99999999999991,y+2,0.011677999999847088,0.007500999999820124,0.02035899999873436,2534.16156,1233.67477
149,882.98564,1001.949824,180,3769.8709280000003,2,2,y14+2,b19,1.99999999999991,y+2,0.008149999999886859,0.010768000000325628,0.02009799999950701,1764.95529,2002.8810399999998
162,817.347653,1067.58808,198,3769.871466,2,2,b15,y18+2,1.99999999999991,y+2,0.007636000000275089,0.011819999999715947,0.02063599999928556,1633.6798299999998,2134.1565
176,478.279434,1097.1974,219,3769.871634,1,3,y4+2,b29,1.99999999999991,y+2,0.001283999999941443,0.018339999999625434,0.020803999999316147,478.27815000000004,3289.5581800000004
185,473.682928,1411.25315,231,3769.872156,2,2,b9,y24+2,1.99999999999991,y+2,0.004346000000055028,0.015799999999217107,0.021325999999135092,946.35367,2821.4826600000006
209,237.097976,1177.590897,308,3769.870667,1,3,y2+2,b31,1.99999999999991,y+2,0.0011539999999854444,0.01981099999966318,0.019836999999370164,237.09912999999997,3530.7372000000005
210,560.321737,1324.614753,312,3769.87298,2,2,y9+2,b24,1.99999999999991,y+2,0.003793999999970765,0.017175999999835767,0.02214999999932843,1119.63184,2648.20449
228,897.49065,1077.400566,415,3769.8725160000004,3,1,y23+2,b10,1.99999999999991,y+2,0.014099999999416468,0.006405999999969936,0.021685999999590422,2690.4421700000007,1077.39416
250,933.557117,945.437938,683,3769.870931,1,3,y8+2,b25,1.99999999999991,y+2,0.004586999999787622,0.014333999999962543,0.020100999999158375,933.5525300000002,2834.2838
