,m/z A,m/z B,Ranking,selected_total,component_x1,component_x2,charge_A,charge_B,adj_mass_A,adj_mass_B,source_column,deviation,parent_isotope_idx,explanation_A,deviation_A,theoretical_mass_A,iso_A,base_name_A,explanation_B,deviation_B,theoretical_mass_B,iso_B,base_name_B,line,num_ffc
210,942.216528,942.979349,7082,3769.628933,2826.6495840000002,942.979349,3,1,2824.6339040000003,942.979349,3*m/z A + 1*m/z B,0.2151970000008987,0.0,+5,0.14119399999981397,2824.4927100000004,5.0,y24,,,,,,2,101
376,942.216528,942.979349,7082,3771.1545749999996,942.216528,2828.9380469999996,1,3,942.216528,2826.9223669999997,1*m/z A + 3*m/z B,0.3104449999987082,0.0,,,,,,,,,,,3,92
98,872.699339,1011.490846,7205,3768.38037,1745.398678,2022.981692,2,2,1744.390838,2021.973852,2*m/z A + 2*m/z B,0.4637600000010025,0.0,,,,,,+4,0.14641800000003968,2022.1202700000001,4.0,y17,1,86
450,349.181847,1140.89863,7331,3771.877737,349.181847,3422.69589,1,3,349.181847,3420.68021,1*m/z A + 3*m/z B,0.03360699999893768,0.0,+1,0.0020069999999918764,349.17984,1.0,y3,+3,0.017019999999774882,3420.66319,3.0,b30,4,66
208,901.205882,983.81552,7340,3770.0428039999997,1802.411764,1967.63104,2,2,1801.403924,1966.6232,2*m/z A + 2*m/z B,0.19867399999884583,0.0,,,,,,,,,,,2,101
87,876.959639,1007.556658,7382,3769.0325940000002,1753.919278,2015.113316,2,2,1752.911438,2014.105476,2*m/z A + 2*m/z B,0.18846399999938512,0.0,+5,0.17192800000020725,1752.7395099999999,5.0,b16,,,,,,1,86
370,924.466988,997.588975,7433,3770.989939,2773.400964,997.588975,3,1,2771.385284,997.588975,3*m/z A + 1*m/z B,0.14580899999918984,0.0,,,,,,,,,,,3,92
257,931.707159,945.437938,7526,3768.020973,931.707159,2836.313814,1,3,931.707159,2834.298134,1*m/z A + 3*m/z B,0.17684299999928044,0.0,0,0.16132899999990968,931.5458300000001,0.0,y8,0,0.014333999999962543,2834.2838,0.0,b25,parent,52
97,473.682928,1098.533909,7543,3769.2846550000004,473.682928,3295.601727,1,3,473.682928,3293.5860470000002,1*m/z A + 3*m/z B,0.4405249999995249,0.0,+5,0.4824779999999578,473.20045000000005,5.0,b5,+4,0.014466999999967811,3293.5715800000003,4.0,b29,1,86
84,1211.608147,1345.732827,7670,3768.9491209999996,2423.216294,1345.732827,2,1,2422.2084539999996,1345.732827,2*m/z A + 1*m/z B,0.10499099999879036,0.0,+1,0.127603999999792,2422.08085,1.0,b22,+1,0.022652999999991152,1345.75548,1.0,y11,1,86
100,941.71277,942.717789,7732,3769.866137,941.71277,2828.153367,1,3,941.71277,2826.137687,1*m/z A + 3*m/z B,0.022006999999121035,0.0,,,,,,,,,,,2,101
