,m/z A,m/z B,Ranking,comp_1_m/z A,comp_4_m/z B,1*m/z A + 4*m/z B,comp_2_m/z A,comp_3_m/z B,2*m/z A + 3*m/z B,comp_3_m/z A,comp_2_m/z B,3*m/z A + 2*m/z B,comp_4_m/z A,comp_1_m/z B,4*m/z A + 1*m/z B,1*m/z A + 3*m/z B,2*m/z A + 2*m/z B,3*m/z A + 1*m/z B
6789179,946.07784516,998.60375317,60,946.07784516,3994.41501268,4940.49285784,1892.15569032,2995.81125951,4887.96694983,2838.2335354800002,1997.20750634,4835.4410418200005,3784.31138064,998.60375317,4782.91513381,3941.88910467,3889.36319666,3836.83728865
1443367,676.90708163,884.53495047,61,676.90708163,3538.13980188,4215.04688351,1353.81416326,2653.6048514100003,4007.4190146700003,2030.72124489,1769.06990094,3799.79114583,2707.62832652,884.53495047,3592.1632769899998,3330.5119330400003,3122.8840642,2915.2561953599998
1626736,688.16629749,1254.75707471,62,688.16629749,5019.02829884,5707.19459633,1376.33259498,3764.2712241300005,5140.603819110001,2064.49889247,2509.51414942,4574.013041890001,2752.66518996,1254.75707471,4007.42226467,4452.437521620001,3885.8467444000003,3319.25596718
1170374,665.92444779,881.0164262,63,665.92444779,3524.0657048,4189.9901525899995,1331.84889558,2643.0492786,3974.89817418,1997.77334337,1762.0328524,3759.80619577,2663.69779116,881.0164262,3544.71421736,3308.97372639,3093.88174798,2878.78976957
324157,559.36077567,595.36321741,64,559.36077567,2381.45286964,2940.8136453099996,1118.72155134,1786.08965223,2904.8112035699996,1678.08232701,1190.72643482,2868.8087618299996,2237.44310268,595.36321741,2832.8063200899996,2345.4504279,2309.44798616,2273.44554442
4393511,790.98702833,815.4721272,65,790.98702833,3261.8885088,4052.8755371300003,1581.97405666,2446.4163816,4028.3904382600003,2372.96108499,1630.9442544,4003.9053393900003,3163.94811332,815.4721272,3979.4202405200003,3237.40340993,3212.91831106,3188.43321219
2315289,715.45818357,831.47854142,66,715.45818357,3325.91416568,4041.3723492500003,1430.91636714,2494.43562426,3925.3519914,2146.3745507099998,1662.95708284,3809.33163355,2861.83273428,831.47854142,3693.3112757,3209.8938078300002,3093.8734499800003,2977.85309213
1626738,688.16629749,1255.75938378,67,688.16629749,5023.03753512,5711.20383261,1376.33259498,3767.27815134,5143.6107463200005,2064.49889247,2511.51876756,4576.01766003,2752.66518996,1255.75938378,4008.42457374,4455.44444883,3887.85136254,3320.25827625
6041609,868.86161227,1084.64851673,68,868.86161227,4338.59406692,5207.4556791899995,1737.72322454,3253.94555019,4991.66877473,2606.58483681,2169.29703346,4775.88187027,3475.44644908,1084.64851673,4560.09496581,4122.80716246,3907.020258,3691.2333535400003
2544389,723.94091622,1085.65087081,69,723.94091622,4342.60348324,5066.54439946,1447.88183244,3256.95261243,4704.83444487,2171.82274866,2171.30174162,4343.12449028,2895.76366488,1085.65087081,3981.41453569,3980.89352865,3619.18357406,3257.47361947
