m/z A	m/z B	Covariance	Partial Cov.	Score	Ranking	intensity A	intensity B	line_id	mz_A_original	mz_B_original	charge_A	charge_B	deconv_method
826.48608	845.28542	78606.34	71308.345	147.8547	2123	7539.541992	13109.088867	6	827.484121	845.085488	1	5	ffc_line
842.48568	842.2850000000001	664241.66	287369.27	119.05319	7865	35005.460938	122615.421875	6	839.481737	842.686463	1	5	ffc_line
652.36288	878.3034200000001	54151.822	44068.098	120.32312	7446	6346.23877	14582.000977	6	657.38663	879.106127	1	5	ffc_line
819.4804800000001	845.28542	57400.277	50086.657	126.82102	5557	16309.763672	5684.799805	6	821.480859	846.28796	1	5	ffc_line
700.41238	870.30302	50639.188	47464.184	167.37442	847	2537.346436	8525.144531	6	697.406032	871.105505	1	5	ffc_line
733.4287800000001	864.6985199999999	26838.991	22722.112	108.9864	12037	4756.308105	7973.202148	6	729.431535	864.700543	1	5	ffc_line
320.12487999999996	946.5636199999999	13629.809	12024.688	153.78215	1607	4008.625244	4957.752441	6	320.124843	946.563629	1	5	ffc_line
790.4681800000001	852.09386	37466.937	30680.433	112.80511	10253	15538.541016	3964.637451	6	789.468359	852.69605	1	5	ffc_line
826.48608	844.8939399999999	150424.68	112253.62	138.85915	3211	31868.662109	16812.216797	6	826.486044	845.296392	1	5	ffc_line
650.3829800000001	880.5174800000001	11918.507	11784.33	111.71467	10723	3049.179688	2688.301025	6	650.383007	880.517479	1	5	ffc_line
712.4115800000001	867.3098200000001	68667.803	64324.16	129.97836	4863	9545.279297	7118.616699	6	712.41154	868.112657	1	5	ffc_line
761.69988	858.25908	496460.32	203510.87	138.46137	3270	96996.125	24554.28125	6	761.699887	858.259089	1	5	ffc_line
731.2589800000001	856.5218199999999	28128.353	25526.93	118.72037	7971	8128.025391	4425.150879	7	732.264874	856.521828	1	5	ffc_line
704.4151800000001	861.6979600000001	45488.421	41356.468	110.75559	11156	6854.156738	4422.162109	7	704.415134	862.095345	1	5	ffc_line
802.47528	842.2850000000001	62268.847	57661.544	141.83946	2804	3506.571045	16912.568359	7	798.470811	843.287777	1	5	ffc_line
712.4115800000001	860.5002200000001	61407.763	50362.863	122.54871	6742	9545.279297	15757.586914	7	712.41154	860.500213	1	5	ffc_line
683.4025800000001	864.6985199999999	30024.287	28802.203	123.17409	6529	3078.504395	8438.897461	7	686.407348	865.702174	1	5	ffc_line
790.4681800000001	842.8864400000001	29701.739	28670.229	139.27729	3140	3562.43457	4224.503906	7	795.46956	843.89103	1	5	ffc_line
782.4599800000001	845.4857000000001	29132.092	25076.234	130.45254	4745	10809.138672	4303.096191	7	782.459959	846.49299	1	5	ffc_line
729.83378	857.02292	14823.467	13523.539	113.26058	10083	4497.966797	4162.22168	7	729.833739	857.022928	1	5	ffc_line
746.6031800000001	854.27034	17006.575	16515.328	111.71218	10725	2464.014648	2695.879883	7	743.598906	854.270335	1	5	ffc_line
767.46238	849.1015400000001	9642.8136	9258.5042	103.04712	15171	2438.136719	3605.65625	7	768.461958	849.302831	1	5	ffc_line
833.48278	845.0847400000001	36144.949	32218.748	132.11619	4407	2842.877197	6305.816406	8	831.479622	844.683314	1	5	ffc_line
733.4287800000001	864.69836	29488.169	27012.235	114.00999	9776	7878.305176	3991.300781	8	732.422288	864.498546	1	5	ffc_line
704.4151800000001	869.69874	81505.006	67127.381	119.09642	7850	6854.156738	21398.5625	8	704.415134	870.100089	1	5	ffc_line
