Index,Interpretation A,m/z A,m/z B,Interpretation B,CorrelationScore,NormalisedScore,MassDeviation
103,,600.73,822.65,,9938.773560692596,321.73797807412893,
104,a6-(NH3)-(HCOH)(1+),566.25,912.41,bi(7-14)-(HCOH)-(HCOH)(1+),2906.0266666138104,321.30022315906666,0.117
105,b10-(HCOOH)(2+),571.51,641.47,y6-(H2O)(1+),2951.729473753721,320.1876156889932,0.22
,a10-(H2O)(2+),571.51,641.47,y6-(H2O)(1+),2951.729473753721,320.1876156889932,0.22
,y10-2(NH3)-(HCOH)(2+),571.51,641.47,b6(1+),2951.729473753721,320.1876156889932,0.242
,ai(6-10)-(NH3)-(HCOOH)(1+),571.51,641.47,y6-(H2O)(1+),2951.729473753721,320.1876156889932,0.246
,a10-(NH3)(2+),571.51,641.47,y6-(H2O)(1+),2951.729473753721,320.1876156889932,0.32
,b10-(NH3)-(HCOH)(2+),571.51,641.47,y6-(H2O)(1+),2951.729473753721,320.1876156889932,0.709
106,b4-2(H2O)-(HCOOH)(1+),331.12,1274.26,y11-(HCOOH)(1+),2627.6314463843896,319.4935129001302,0.439
,y3(1+),331.12,1274.26,ai(3-13)-(HCOH)(1+),2627.6314463843896,319.4935129001302,0.576
,y3(1+),331.12,1274.26,b11-(HN=C=NH)(1+),2627.6314463843896,319.4935129001302,0.585
,b4-2(H2O)-(HCOOH)(1+),331.12,1274.26,y11-(NH3)-(HCOH)(1+),2627.6314463843896,319.4935129001302,0.617
107,,478.12,1075.45,,2959.460483182161,319.40912984189873,
108,,773.88,1320.57,,5373.174553197198,319.17563453966204,
109,,660.6,1487.71,,3503.993795433449,319.1316038347989,
110,,659.09,891.47,,4236.731404615438,318.61941494018765,
111,bi(8-9)-(H2O)(1+),259.94,717.15,b7-2(NH3)-(HCOOH)(1+),1183.2158751014163,318.46574470482756,0.288
,bi(8-11)(2+),259.94,717.15,b7-2(NH3)-(HCOOH)(1+),1183.2158751014163,318.46574470482756,0.306
,bi(2-4)-2(H2O)-(HCOOH)(1+),259.94,717.15,y12(2+),1183.2158751014163,318.46574470482756,0.339
,ai(8-12)-(HCOH)-(HCOH)(2+),259.94,717.15,b7-2(NH3)-(HCOOH)(1+),1183.2158751014163,318.46574470482756,0.384
112,,603.35,759.1,,2871.4293555632044,318.1589350033146,
113,,436.26,1331.41,,3357.361565644894,318.04498552860395,
114,,488.13,774.26,,10435.432824139503,318.02183540834807,
115,b4-(H2O)(1+),395.14,642.14,y6-(NH3)(1+),2412.3592797370356,317.97270270016526,0.228
,ai(4-10)-(HN=C=NH)-(HCOH)(2+),395.14,642.14,y6-(NH3)(1+),2412.3592797370356,317.97270270016526,0.461
,b4-(H2O)(1+),395.14,642.14,y11-2(H2O)(2+),2412.3592797370356,317.97270270016526,0.706
,b4-(H2O)(1+),395.14,642.14,y6-(H2O)(1+),2412.3592797370356,317.97270270016526,0.785
116,,911.52,935.36,,2954.413599331301,317.94746187923687,
117,a4(1+),385.28,660.92,y11(2+),7789.050260443896,317.93339596734086,0.081
,a7(2+),385.28,660.92,ai(8-13)-(HCOH)(1+),7789.050260443896,317.93339596734086,0.443
118,,385.01,726.52,,2131.8366046448236,317.11444200498454,
119,,531.28,774.64,,10298.207214289763,316.8128484797235,
120,y3(1+),330.69,621.39,a11-(HCOOH)(2+),3183.139623559852,316.4096536233717,0.512
,b4-2(H2O)-(HCOOH)(1+),330.69,621.39,bi(5-15)-(HCOOH)(2+),3183.139623559852,316.4096536233717,0.522
