Index,Interpretation A,m/z A,m/z B,Interpretation B,CorrelationScore,NormalisedScore,MassDeviation
,ai(3-10)-(H2O)-(HCOOH)(2+),456.13,659.13,y6(1+),111.4551755605613,269.7451761318499,0.273
,ai(3-10)-(NH3)-(HCOOH)(2+),456.13,659.13,y6(1+),111.4551755605613,269.7451761318499,0.665
44,a6-(H2O)(1+),595.05,708.42,y7-2(NH3)-(HCOH)(1+),98.44718799222422,267.27524854456345,0.292
,b6-(HCOOH)(1+),595.05,708.42,y7-2(NH3)-(HCOH)(1+),98.44718799222422,267.27524854456345,0.301
,b6-(NH3)-(HCOH)(1+),595.05,708.42,y7-2(NH3)-(HCOH)(1+),98.44718799222422,267.27524854456345,0.741
45,,1074.61,1187.56,,54.21770240935764,265.3757222309899,
46,a10-(NH3)(2+),571.78,659.06,y6(1+),152.93351854236954,265.0065345932234,0.311
,b10-(HCOOH)(2+),571.78,659.06,y6(1+),152.93351854236954,265.0065345932234,0.555
,a10-(H2O)(2+),571.78,659.06,y6(1+),152.93351854236954,265.0065345932234,0.555
,ai(6-10)-(NH3)-(HCOOH)(1+),571.78,659.06,y6(1+),152.93351854236954,265.0065345932234,0.58
47,y2(1+),233.86,910.68,ai(7-14)-2(NH3)(1+),26.129802453720337,264.1196428024405,0.358
48,ai(2-10)-(HN=C=NH)(2+),524.01,642.22,y6-(NH3)(1+),72.93182006884788,264.0379973186261,0.247
,a9(2+),524.01,642.22,y6-(NH3)(1+),72.93182006884788,264.0379973186261,0.264
49,b6(2+),321.1,702.23,bi(7-12)-(HCOH)-(HCOH)(1+),67.58810918532026,263.53852593349706,0.161
,a4-2(NH3)-(HCOH)(1+),321.1,702.23,y12-(HCOH)(2+),67.58810918532026,263.53852593349706,0.179
,a4-(H2O)-(HCOOH)(1+),321.1,702.23,y12-(HCOH)(2+),67.58810918532026,263.53852593349706,0.2
50,,831.03,887.58,,105.75613019335822,257.61537182914077,
51,,331.05,822.55,,113.55203370231696,255.33757293025573,
52,,749.54,961.16,,35.83909490947351,254.70172180286085,
53,,537.48,764.85,,50.93053106480656,253.51286468991597,
