Index,Interpretation A,m/z A,m/z B,Interpretation B,CorrelationScore,NormalisedScore,MassDeviation
61,bi(10-11)(1+),204.73,318.85,y3(1+),1758.0106445470537,304.6456101082462,0.489
,ai(9-11)-(HCOH)(1+),204.73,318.85,y3(1+),1758.0106445470537,304.6456101082462,0.698
62,y9-2(NH3)-(HCOH)(2+),400.47,433.01,b5-(HCOH)(1+),16592.69845920955,297.90858725938836,0.278
,ai(6-10)-(CH3NH2)-(HCOH)(1+),400.47,433.01,b5-(HCOH)(1+),16592.69845920955,297.90858725938836,0.319
,a5-2(NH3)(1+),400.47,433.01,y9(2+),16592.69845920955,297.90858725938836,0.726
,y9-2(H2O)-(HCOH)(2+),400.47,433.01,b5-(HCOH)(1+),16592.69845920955,297.90858725938836,0.779
63,ai(6-9)-2(NH3)(1+),280.7,432.64,b5-(HCOH)(1+),5854.209798514547,297.0412165118097,0.778
64,,376.74,722.56,,2408.4733894137926,296.91334617064285,
65,y4(1+),376.29,769.62,b9-2(NH3)(1+),3010.1083722383537,296.35416968805475,0.707
66,y9-(HCOH)(2+),418.28,433.38,b5-(HCOH)(1+),21801.07950082762,296.27970870670185,0.595
,a5-(NH3)(1+),418.28,433.38,y9(2+),21801.07950082762,296.27970870670185,0.659
67,a3-(H20)-(NH3)(1+),166.42,432.86,y9(2+),4480.119752544474,289.4862867557973,0.383
,a3-(H20)-(NH3)(1+),166.42,432.86,bi(4-13)-(HCOH)-(HCOH)(2+),4480.119752544474,289.4862867557973,0.39
,ai(6-7)-2(NH3)(1+),166.42,432.86,b5-(HCOH)(1+),4480.119752544474,289.4862867557973,0.46
,a3-(H20)-(NH3)(1+),166.42,432.86,ai(4-13)-(CH3NH2)(2+),4480.119752544474,289.4862867557973,0.495
,a3-2(NH3)(1+),166.42,432.86,y9(2+),4480.119752544474,289.4862867557973,0.633
,a3-2(NH3)(1+),166.42,432.86,bi(4-13)-(HCOH)-(HCOH)(2+),4480.119752544474,289.4862867557973,0.638
,a3-2(NH3)(1+),166.42,432.86,ai(4-13)-(CH3NH2)(2+),4480.119752544474,289.4862867557973,0.707
,a3-(H20)-(NH3)(1+),166.42,432.86,bi(4-7)-(HCOH)(1+),4480.119752544474,289.4862867557973,0.717
,bi(11-13)-2(H2O)(1+),166.42,432.86,a10-(HCOH)-(HCOH)(2+),4480.119752544474,289.4862867557973,0.734
,ai(7-8)-2(NH3)(1+),166.42,432.86,a6-(HCOH)-(HCOH)(1+),4480.119752544474,289.4862867557973,0.747
,a3-(H20)-(NH3)(1+),166.42,432.86,bi(4-13)-(CH3NH2)-(HCOH)(2+),4480.119752544474,289.4862867557973,0.761
68,b4-2(NH3)(2+),171.41,504.94,y5-(H2O)(1+),1514.6393078397264,288.08477362528834,0.344
,bi(6-9)(2+),171.41,504.94,y5-(H2O)(1+),1514.6393078397264,288.08477362528834,0.364
69,,365.88,384.96,,5315.320311492927,286.0771632548604,
70,,380.32,635.52,,4622.194153309813,285.8421828541407,
71,,463.53,568.26,,2970.424011152359,284.63985962510395,
72,a6-(HCOH)-(HCOH)(1+),432.14,562.97,y6-(NH3)(1+),5662.084079715783,280.9752739777768,0.294
,a6-(HCOH)-(HCOH)(1+),432.14,562.97,y6-(H2O)(1+),5662.084079715783,280.9752739777768,0.702
73,b7-2(NH3)-(HCOH)(2+),313.2,475.95,y5-(NH3)-(HCOH)(1+),3341.9997112986275,279.3989785318817,0.522
,bi(3-9)-2(NH3)-(HCOH)(2+),313.2,475.95,y5-(NH3)-(HCOH)(1+),3341.9997112986275,279.3989785318817,0.522
,a7-2(H2O)(2+),313.2,475.95,y5-(NH3)-(HCOH)(1+),3341.9997112986275,279.3989785318817,0.539
,ai(3-9)-2(H2O)(2+),313.2,475.95,y5-(NH3)-(HCOH)(1+),3341.9997112986275,279.3989785318817,0.539
,b7-2(H2O)-(HCOH)(2+),313.2,475.95,y5-(NH3)-(HCOH)(1+),3341.9997112986275,279.3989785318817,0.617
,bi(3-9)-2(H2O)-(HCOH)(2+),313.2,475.95,y5-(NH3)-(HCOH)(1+),3341.9997112986275,279.3989785318817,0.617
74,bi(8-10)(1+),261.83,673.91,b7-(NH3)(1+),2252.6255336359272,279.08762558631173,0.666
,y5(2+),261.83,673.91,bi(3-9)-(NH3)(1+),2252.6255336359272,279.08762558631173,0.675
,y5(2+),261.83,673.91,b7-(NH3)(1+),2252.6255336359272,279.08762558631173,0.675
,y2(1+),261.83,673.91,bi(5-12)-(NH3)(1+),2252.6255336359272,279.08762558631173,0.68
,y2(1+),261.83,673.91,b7-(NH3)(1+),2252.6255336359272,279.08762558631173,0.68
75,ai(9-13)-(HCOH)(1+),348.11,655.57,a8-2(NH3)-(HCOH)(1+),1485.318484077144,277.9994785377323,0.284
,a4(1+),348.11,655.57,bi(5-12)-2(NH3)(1+),1485.318484077144,277.9994785377323,0.712
