col0	col1	col2	col3	col4	col5	THEO_MONO_MZ_1	THEO_MONO_MASS_1	THEO_INTE_SUM_1	THEO_CHARGE_1	THEO_MONO_MZ_2	THEO_MONO_MASS_2	THEO_INTE_SUM_2	THEO_CHARGE_2
726.770015	946.457427	203286.29	180836.44	94.631058	109428	726.7699176	3628.81320567	45374477.54665967	5.0	946.22199453	16068.65020706	379988302.55165297	17.0
726.770015	950.810934	185676.04	164986.56	122.23115	35836	726.7699176	3628.81320567	45374477.54665967	5.0	950.276668	14239.040873	23048680.27543393	15.0
726.770015	950.945061	230932.97	196509.17	112.463	54701	726.7699176	3628.81320567	45374477.54665967	5.0	950.48227115	12343.17493093	33080781.62668445	13.0
726.770015	951.232873	344841.69	310868.87	161.97855	4784	726.7699176	3628.81320567	45374477.54665967	5.0	950.73352014	13296.16741146	38656874.02195561	14.0
726.770015	952.166501	234665.63	199694.32	130.36549	24680	726.7699176	3628.81320567	45374477.54665967	5.0	951.88024	13312.22148946	112531379.49081278	14.0
726.770015	952.88179	5922.9211	-9264.3519	-8.0204496	999611	726.7699176	3628.81320567	45374477.54665967	5.0	952.35879884	18075.67892513	23974587.81802965	19.0
726.770015	953.04952	104938.74	95250.661	73.450381	217289	726.7699176	3628.81320567	45374477.54665967	5.0	952.75451335	16179.70302706	121165640.41294694	17.0
726.770015	954.049583	-42974.14	-73729.909	-46.87037	1359643	726.7699176	3628.81320567	45374477.54665967	5.0	953.75524394	16196.71544706	226946063.0193792	17.0
726.770015	962.79562	-14350.367	-30449.402	-28.343543	1199157	726.7699176	3628.81320567	45374477.54665967	5.0	962.33785364	10574.63634886	16672773.57737934	11.0
726.770015	964.111954	3494.4706	-18935.041	-11.849254	1038833	726.7699176	3628.81320567	45374477.54665967	5.0	963.69946359	16365.76718106	62384962.94968125	17.0
726.770015	964.433767	-21059.014	-48828.087	-34.847423	1258181	726.7699176	3628.81320567	45374477.54665967	5.0	963.88699564	10591.67691086	49920822.9315789	11.0
726.770015	964.93759	-15894.74	-48484.252	-37.05784	1277545	726.7699176	3628.81320567	45374477.54665967	5.0	964.64194424	16381.78935206	327928842.0145925	17.0
726.770015	965.639153	65274.146	25512.294	14.981624	745128	726.7699176	3628.81320567	45374477.54665967	5.0	965.13781075	15426.08854853	32841403.28204054	16.0
726.770015	968.781856	-21485.158	-57080.514	-50.688706	1389520	726.7699176	3628.81320567	45374477.54665967	5.0	968.49780557	6772.43370373	37201508.77780065	7.0
726.770015	975.878136	-9123.7359	-25667.688	-18.678619	1107090	726.7699176	3628.81320567	45374477.54665967	5.0	975.58626206	16567.84275506	178000146.31508723	17.0
726.770015	986.263053	126357.71	70604.583	47.697813	416130	726.7699176	3628.81320567	45374477.54665967	5.0	986.01269975	3940.02169313	21926284.36395334	4.0
726.770015	1019.867028	95732.113	56334.374	44.55314	444949	726.7699176	3628.81320567	45374477.54665967	5.0	1019.36599183	6110.1522922	25390886.39169392	6.0
