,m/z A,m/z B,Ranking,comp_1_m/z A,comp_5_m/z B,1*m/z A + 5*m/z B,comp_2_m/z A,comp_4_m/z B,2*m/z A + 4*m/z B,comp_3_m/z A,comp_3_m/z B,3*m/z A + 3*m/z B,comp_4_m/z A,comp_2_m/z B,4*m/z A + 2*m/z B,comp_5_m/z A,comp_1_m/z B,5*m/z A + 1*m/z B,1*m/z A + 4*m/z B,2*m/z A + 3*m/z B,3*m/z A + 2*m/z B,4*m/z A + 1*m/z B
835,876.507033,909.854804,39,876.507033,4549.27402,5425.781053,1753.014066,3639.419216,5392.433282,2629.521099,2729.5644119999997,5359.085510999999,3506.028132,1819.709608,5325.73774,4382.535165,909.854804,5292.389969,4515.926249,4482.578477999999,4449.230707,4415.882936
5181,666.376407,860.163799,40,666.376407,4300.8189950000005,4967.195402,1332.752814,3440.655196,4773.40801,1999.129221,2580.4913970000002,4579.620618,2665.505628,1720.327598,4385.833226,3331.8820349999996,860.163799,4192.045834,4107.031603,3913.244211,3719.456819,3525.669427
3909,819.480691,1192.68567,41,819.480691,5963.42835,6782.909041,1638.961382,4770.74268,6409.704062000001,2458.442073,3578.0570100000004,6036.499083000001,3277.922764,2385.37134,5663.2941040000005,4097.403455,1192.68567,5290.0891249999995,5590.223371,5217.018392,4843.813413,4470.608434
5311,666.376407,959.892295,42,666.376407,4799.461475,5465.837882,1332.752814,3839.56918,5172.321994,1999.129221,2879.676885,4878.806106,2665.505628,1919.78459,4585.290218,3331.8820349999996,959.892295,4291.774329999999,4505.945587,4212.429699,3918.913811,3625.397923
3763,819.480691,847.48699003,43,819.480691,4237.43495015,5056.91564115,1638.961382,3389.94796012,5028.90934212,2458.442073,2542.46097009,5000.90304309,3277.922764,1694.97398006,4972.89674406,4097.403455,847.48699003,4944.89044503,4209.42865112,4181.42235209,4153.41605306,4125.40975403
67477,284.197281,801.452868,44,284.197281,4007.2643399999997,4291.4616209999995,568.394562,3205.811472,3774.206034,852.5918429999999,2404.358604,3256.950447,1136.789124,1602.905736,2739.6948599999996,1420.9864049999999,801.452868,2222.439273,3490.008753,2972.753166,2455.497579,1938.2419919999998
6121,730.589966,1064.590801,45,730.589966,5322.9540050000005,6053.543971000001,1461.179932,4258.363204,5719.543136,2191.769898,3193.772403,5385.5423009999995,2922.359864,2129.181602,5051.541466000001,3652.94983,1064.590801,4717.540631,4988.953170000001,4654.952335,4320.9515,3986.9506650000003
5380,666.376407,920.569307,46,666.376407,4602.846535,5269.222941999999,1332.752814,3682.277228,5015.030042,1999.129221,2761.707921,4760.837142,2665.505628,1841.138614,4506.644242,3331.8820349999996,920.569307,4252.451341999999,4348.653635,4094.460735,3840.2678349999996,3586.0749349999996
9526,825.733837,1009.254636,47,825.733837,5046.27318,5872.007017,1651.467674,4037.018544,5688.486218,2477.201511,3027.763908,5504.965419,3302.935348,2018.509272,5321.44462,4128.669185,1009.254636,5137.923820999999,4862.752381,4679.231582,4495.710783,4312.189984
55871,835.68779203,1015.27029339,48,835.68779203,5076.35146695,5912.03925898,1671.37558406,4061.08117356,5732.45675762,2507.06337609,3045.81088017,5552.87425626,3342.75116812,2030.54058678,5373.291754899999,4178.43896015,1015.27029339,5193.70925354,4896.76896559,4717.18646423,4537.60396287,4358.021461509999
7736,227.175949,941.059473,49,227.175949,4705.297365,4932.473314000001,454.351898,3764.237892,4218.58979,681.5278470000001,2823.178419,3504.706266,908.703796,1882.118946,2790.8227420000003,1135.879745,941.059473,2076.939218,3991.413841,3277.5303169999997,2563.646793,1849.763269
49651,821.47613,966.517736,50,821.47613,4832.58868,5654.06481,1642.95226,3866.070944,5509.023204,2464.42839,2899.5532080000003,5363.981598,3285.90452,1933.035472,5218.939992,4107.38065,966.517736,5073.898386,4687.547074,4542.505468,4397.4638620000005,4252.422256
