,m/z A,m/z B,Ranking,selected_total,charge_A,charge_B,explanation_A,explanation_B,parent_isotope_idx,isotopic_classification,deviation_A,deviation_B,deviation,theoretical_mass_A,theoretical_mass_B
212,807.701371,1345.763158,571,3768.867271,3,1,b22,y11+2,1.99999999999991,y+2,0.01093300000002273,0.011662000000114858,0.00045099999942976865,2421.0775,1345.77482
213,804.432863,1080.00184,617,3768.869406,2,2,y13+2,b20,1.99999999999991,y+2,0.012284000000136075,0.013689999999769498,0.0025859999991553195,1607.8701700000001,2158.98215
224,349.181847,1139.896002,991,3768.8698529999997,1,3,y3+2,b30,1.99999999999991,y+2,0.017333000000007814,0.019185999999535852,0.0030329999990499346,349.19918,3417.6531400000003
41,706.384701,1021.162037,41,3769.870812,1,3,b7+4,b27+1,2.9999999999998654,"b+1, b+4",0.08716099999992366,0.015160999999807245,0.0006419999995159742,706.29754,3061.4552700000004
21,703.793067,1181.14284,17,3769.871814,2,2,b13+1,y20+2,2.9999999999998654,"b+1, y+2",0.006114000000025044,0.00565000000051441,0.0016439999994872778,1406.57218,2361.2834900000003
23,760.33525,1124.600103,19,3769.8707059999997,2,2,b14+1,y19+2,2.9999999999998654,"b+1, y+2",0.006420000000161963,0.0070640000003550085,0.0005359999991014774,1519.6562399999998,2248.19943
34,819.469685,983.46699,33,3769.870655,1,3,y7+2,b26+1,2.9999999999998654,"b+1, y+2",0.01477500000009968,0.01407999999992171,0.0004849999995713006,819.4844600000001,2948.3712100000002
37,477.277555,1097.531602,37,3769.872361,1,3,y4+2,b29+1,2.9999999999998654,"b+1, y+2",0.0165850000000205,0.017595999999684864,0.0021909999995841645,477.29414,3290.5615300000004
40,706.384701,1021.162037,41,3769.870812,1,3,y6+2,b27+1,2.9999999999998654,"b+1, y+2",0.01569900000015423,0.015160999999807245,0.0006419999995159742,706.4004000000001,3061.4552700000004
42,931.413618,953.522196,42,3769.871628,2,2,b17+1,y16+2,2.9999999999998654,"b+1, y+2",0.009226000000353451,0.00894800000014584,0.0014579999992747616,1861.8101699999997,1906.0455000000002
44,616.842268,1268.093972,44,3769.87248,2,2,y10+2,b23+1,2.9999999999998654,"b+1, y+2",0.01406400000018948,0.015193999999610242,0.002309999999397405,1232.6907600000002,2535.16491
51,918.003403,966.932342,49,3769.87149,2,2,y15+2,b18+1,2.9999999999998654,"b+1, y+2",0.009424000000080923,0.009564000000182205,0.0013199999993958045,1835.0083900000002,1932.8472799999997
56,647.250748,1237.685092,56,3769.87168,2,2,b12+1,y21+2,2.9999999999998654,"b+1, y+2",0.0055360000001201115,0.005206000000725908,0.0015099999995982216,1293.48812,2474.3675500000004
65,845.730494,1232.679204,66,3769.870686,3,1,b23+1,y10+2,2.9999999999998654,"b+1, y+2",0.010892000000239932,0.011556000000155109,0.0005159999996067199,2535.16491,1232.6907600000002
75,882.484263,1002.451001,78,3769.8705280000004,2,2,y14+2,b19+1,2.9999999999998654,"b+1, y+2",0.010594000000082815,0.009772000000339176,0.0003579999997782579,1763.9712800000002,2003.8843899999997
82,559.820352,1325.115834,85,3769.872372,2,2,y9+2,b24+1,2.9999999999998654,"b+1, y+2",0.014966000000185886,0.015987999999651947,0.0022019999992153316,1118.64783,2649.20784
88,932.554952,945.772274,92,3769.871774,1,3,y8+2,b25+1,2.9999999999998654,"b+1, y+2",0.013568000000191205,0.01399200000014389,0.0016039999995882681,932.5685200000001,2835.28715
99,410.238225,1474.699264,106,3769.8749780000003,2,2,y7+2,b26+1,2.9999999999998654,"b+1, y+2",0.01585000000011405,0.019477999999708118,0.004807999999684398,819.4844600000001,2948.3712100000002
107,539.704971,1345.231995,115,3769.8739320000004,2,2,b10+1,y23+2,2.9999999999998654,"b+1, y+2",0.004592000000002372,0.0020100000006095797,0.0037619999998241838,1078.39751,2689.4581600000006
