,m/z A,m/z B,Ranking,selected_total,charge_A,charge_B,explanation_A,explanation_B,parent_isotope_idx,isotopic_classification,deviation_A,deviation_B,deviation,theoretical_mass_A,theoretical_mass_B
0,280.182538,862.268876,3,4009.44058,2,4,b4+3,b32+2,1.99999999999991,"b+2, b+3",0.013353999999935695,0.00884399999949892,0.012249999999312422,559.37059,3446.04314
26,559.35831,690.016201,47,4009.439315,1,5,b4+3,b32+2,1.99999999999991,"b+2, b+3",0.012280000000032487,0.006504999999833672,0.010984999999436695,559.37059,3446.04314
8,280.182538,862.519546,7,4010.44326,2,4,y5,y33,2.9999999999998654,Parent+2 (Unannotated),0.0010459999999739011,0.02257400000053167,0.011579999999412394,559.3561900000001,3447.0320899999992
21,559.35831,690.216746,28,4010.44204,1,5,y5,y33,2.9999999999998654,Parent+2 (Unannotated),0.002119999999877109,0.02028000000063912,0.010359999999309366,559.3561900000001,3447.0320899999992
79,458.778736,773.221261,307,4010.442516,2,4,y9+2,b28+1,2.9999999999998654,"b+1, y+2",0.0011819999998579078,0.007293999999546941,0.010835999999471824,916.5484500000001,3089.8542300000004
30,560.361646,690.016201,50,4010.442651,1,5,b4+4,b32+2,2.9999999999998654,"b+2, b+4",0.012294000000110827,0.006504999999833672,0.010970999999244668,560.3739400000001,3446.04314
22,380.232176,812.494697,37,4010.44314,2,4,y7+1,b30+2,2.9999999999998654,"b+2, y+1",0.0012819999999464926,0.00781799999958821,0.011459999999260617,759.45523,3246.94745
31,560.361646,690.016201,50,4010.442651,1,5,y5+1,b32+2,2.9999999999998654,"b+2, y+1",0.0021059999999124557,0.006504999999833672,0.010970999999244668,560.35954,3446.04314
53,507.811704,748.704897,146,4010.4429959999998,2,4,y10+1,b27+2,2.9999999999998654,"b+2, y+1",0.002058000000033644,0.0068979999991825025,0.011315999999169435,1014.61351,2991.7891700000005
69,408.74309,798.239231,221,4010.443104,2,4,y8+1,b29+2,2.9999999999998654,"b+2, y+1",0.0016499999999268766,0.007413999999698717,0.011423999999351508,816.4766900000001,3189.92599
6,280.182538,862.519546,7,4010.44326,2,4,b4+3,y33,2.9999999999998654,b+3,0.013353999999935695,0.02257400000053167,0.011579999999412394,559.37059,3447.0320899999992
7,280.182538,862.519546,7,4010.44326,2,4,y5,b32+3,2.9999999999998654,b+3,0.0010459999999739011,0.008173999999598891,0.011579999999412394,559.3561900000001,3447.04649
9,379.730691,812.745401,8,4010.442986,2,4,y7,b30+3,2.9999999999998654,b+3,0.0016619999998965795,0.007283999999799562,0.011305999999422056,758.4518800000001,3247.9508
11,458.310365,710.426295,12,4010.44184,1,5,y4,b33+3,2.9999999999998654,b+3,0.0018549999999777356,0.005944999999883294,0.01015999999935957,458.30851,3548.0941700000003
19,559.35831,690.216746,28,4010.44204,1,5,b4+3,y33,2.9999999999998654,b+3,0.012280000000032487,0.02028000000063912,0.010359999999309366,559.37059,3447.0320899999992
20,559.35831,690.216746,28,4010.44204,1,5,y5,b32+3,2.9999999999998654,b+3,0.002119999999877109,0.005879999999706342,0.010359999999309366,559.3561900000001,3447.04649
34,408.241512,798.489965,66,4010.442884,2,4,y8,b29+3,2.9999999999998654,b+3,0.001843999999891821,0.006999999999607098,0.011203999999452208,815.4733400000001,3190.92934
39,585.157964,1084.652373,74,4010.442193,5,1,b26+3,y11,2.9999999999998654,b+3,0.0030499999998028215,0.0051029999997354025,0.010512999999264139,2921.75541,1084.6472700000002
43,507.310348,748.955574,87,4010.442992,2,4,y10,b27+3,2.9999999999998654,b+3,0.0026959999999007778,0.006255999999211781,0.011311999999179534,1013.6101600000001,2992.7925200000004
52,457.775967,773.722676,138,4010.442638,2,4,y9,b28+3,2.9999999999998654,b+3,0.0023439999998799976,0.006253999999444204,0.010957999999391177,914.5417500000001,3091.8609300000003
5,280.182538,862.519546,7,4010.44326,2,4,b4+3,b32+3,2.9999999999998654,"b+3, b+3",0.013353999999935695,0.008173999999598891,0.011579999999412394,559.37059,3447.04649
18,559.35831,690.216746,28,4010.44204,1,5,b4+3,b32+3,2.9999999999998654,"b+3, b+3",0.012280000000032487,0.005879999999706342,0.010359999999309366,559.37059,3447.04649
65,460.316229,710.225892,177,4011.445689,1,5,y4+2,b33+2,3.99999999999982,"b+2, y+2",0.0010189999999852262,0.007279999999809661,0.010658999999577645,460.31521000000004,3547.0908200000003
57,280.182538,862.770331,158,4011.4464000000003,2,4,b4+3,b32+4,3.99999999999982,"b+3, b+4",0.013353999999935695,0.007963999999901716,0.011369999999715219,559.37059,3448.04984
75,280.684175,862.519546,303,4011.4465339999997,2,4,b4+4,b32+3,3.99999999999982,"b+3, b+4",0.013430000000084874,0.008173999999598891,0.011503999999149528,560.3739400000001,3447.04649
49,459.313668,710.426295,119,4011.445143,1,5,y4+1,b33+3,3.99999999999982,"b+3, y+1",0.0018079999999827123,0.005944999999883294,0.010112999999364547,459.31186,3548.0941700000003
58,280.182538,862.770331,158,4011.4464000000003,2,4,b4+3,y33+1,3.99999999999982,"b+3, y+1",0.013353999999935695,0.022364000000834494,0.011369999999715219,559.37059,3448.035439999999
73,380.232176,812.745401,265,4011.445956,2,4,y7+1,b30+3,3.99999999999982,"b+3, y+1",0.0012819999999464926,0.007283999999799562,0.01092599999947197,759.45523,3247.9508
74,650.397583,759.458454,299,4011.4463690000002,5,1,b30+3,y7+1,3.99999999999982,"b+3, y+1",0.005755000000135624,0.003223999999931948,0.0113389999996798,3247.9508,759.45523
77,280.684175,862.519546,303,4011.4465339999997,2,4,y5+1,b32+3,3.99999999999982,"b+3, y+1",0.000969999999938409,0.008173999999598891,0.011503999999149528,560.35954,3447.04649
81,316.202832,844.760282,377,4011.4467919999997,2,4,y6+1,b31+3,3.99999999999982,"b+3, y+1",0.0011739999999917927,0.008227999999689928,0.011761999999180262,631.39665,3376.00938
51,458.310365,710.626884,132,4011.444785,1,5,y4,b33+4,3.99999999999982,b+4,0.0018549999999777356,0.0055400000001100125,0.009754999999586289,458.30851,3549.0975200000003
59,280.182538,862.770331,158,4011.4464000000003,2,4,y5,b32+4,3.99999999999982,b+4,0.0010459999999739011,0.007963999999901716,0.011369999999715219,559.3561900000001,3448.04984
76,280.684175,862.519546,303,4011.4465339999997,2,4,b4+4,y33,3.99999999999982,b+4,0.013430000000084874,0.02257400000053167,0.011503999999149528,560.3739400000001,3447.0320899999992
82,619.379952,914.545015,392,4011.4447750000004,5,1,b28+4,y9,3.99999999999982,b+4,0.004120000000057189,0.0032649999999421198,0.00974499999983891,3092.8642800000002,914.5417500000001
60,280.182538,862.770331,158,4011.4464000000003,2,4,y5,y33+1,3.99999999999982,y+1,0.0010459999999739011,0.022364000000834494,0.011369999999715219,559.3561900000001,3448.035439999999
78,280.684175,862.519546,303,4011.4465339999997,2,4,y5+1,y33,3.99999999999982,y+1,0.000969999999938409,0.02257400000053167,0.011503999999149528,560.35954,3447.0320899999992
