m/z A	m/z B	Covariance	Partial Cov.	Score	Ranking	intensity A	intensity B
603.7931	175.1196	4487175.8	4212767.6	308.05681	70	1081.730591	8633.249023
401.2886	554.2588	2620848.9	2567389.0	307.42387	71	877.062744	2905.465332
554.2588	401.2886	2620848.9	2567389.0	307.42387	71	2905.465332	877.062744
629.4008	489.7371	2294164.0	2240790.0	305.78531	72	1328.932983	1868.962158
489.7371	629.4008	2294164.0	2240790.0	305.78531	72	1868.962158	1328.932983
659.3534	183.1134	4087598.8	3968287.0	304.04186	73	802.653137	6728.792969
183.1134	659.3534	4087598.8	3968287.0	304.04186	73	6728.792969	802.653137
814.482	694.319	3093021.7	2972980.5	302.42569	74	5392.56543	1683.645386
694.319	814.482	3093021.7	2972980.5	302.42569	74	1683.645386	5392.56543
814.482	565.2752	3050673.3	2940461.9	298.56501	75	5392.56543	1313.338379
565.2752	814.482	3050673.3	2940461.9	298.56501	75	1313.338379	5392.56543
504.7846	500.2372	6333086.4	5972776.7	296.50445	76	10414.665039	1889.202759
500.2372	504.7846	6333086.4	5972776.7	296.50445	76	1889.202759	10414.665039
757.4601	425.7076	2321617.4	2317749.6	290.09302	77	906.667358	750.10376
425.7076	757.4601	2321617.4	2317749.6	290.09302	77	750.10376	906.667358
754.3995	510.2578	16561275.0	13690070.0	285.70852	78	112829.5625	931.226563
510.2578	754.3995	16561275.0	13690070.0	285.70852	78	931.226563	112829.5625
1079.6018	195.0883	1320934.1	1287264.2	283.96213	79	1535.534546	1063.230103
195.0883	1079.6018	1320934.1	1287264.2	283.96213	79	1063.230103	1535.534546
195.0883	814.482	2377738.3	2284690.0	282.84764	80	1063.230103	5392.56543
814.482	195.0883	2377738.3	2284690.0	282.84764	80	5392.56543	1063.230103
629.4008	475.7395	2919394.5	2787056.3	279.19138	81	6271.913086	781.109375
475.7395	629.4008	2919394.5	2787056.3	279.19138	81	781.109375	6271.913086
229.119	645.8503	26290248.0	16043229.0	274.6868	82	306551.5625	997.601074
645.8503	229.119	26290248.0	16043229.0	274.6868	82	997.601074	306551.5625
680.8728	500.2734	9345220.3	8386962.2	273.87318	83	10175.529297	4627.548828
500.2734	680.8728	9345220.3	8386962.2	273.87318	83	4627.548828	10175.529297
530.2879	500.2372	4128473.6	3877697.7	272.66097	84	3393.131836	1889.202759
500.2372	530.2879	4128473.6	3877697.7	272.66097	84	1889.202759	3393.131836
629.4008	475.7395	1388611.8	1361701.0	269.28151	85	1328.932983	781.109375
475.7395	629.4008	1388611.8	1361701.0	269.28151	85	781.109375	1328.932983
494.2378	814.482	2322472.4	2312447.4	265.70712	86	1018.789063	5392.56543
814.482	494.2378	2322472.4	2312447.4	265.70712	86	5392.56543	1018.789063
654.3592	300.1564	15693812.0	11968919.0	265.64883	87	48794.230469	2384.458984
300.1564	654.3592	15693812.0	11968919.0	265.64883	87	2384.458984	48794.230469
540.3033	510.2578	12197232.0	10126203.0	265.45934	88	81014.875	931.226563
510.2578	540.3033	12197232.0	10126203.0	265.45934	88	931.226563	81014.875
754.3995	565.2752	50223476.0	33120932.0	264.57746	89	112829.5625	7124.077148
565.2752	754.3995	50223476.0	33120932.0	264.57746	89	7124.077148	112829.5625
500.2372	1008.5639	2615579.5	2454846.6	263.66543	90	1889.202759	3074.820557
1008.5639	500.2372	2615579.5	2454846.6	263.66543	90	3074.820557	1889.202759
951.5419	879.3997	2288456.9	2226042.2	261.94819	91	1306.884277	2645.866943
879.3997	951.5419	2288456.9	2226042.2	261.94819	91	2645.866943	1306.884277
266.1257	814.482	2138899.3	2056413.7	260.83181	92	834.407898	5392.56543
814.482	266.1257	2138899.3	2056413.7	260.83181	92	5392.56543	834.407898
531.2979	528.2686	4868309.2	4770647.6	260.53526	93	2339.440674	5624.222656
528.2686	531.2979	4868309.2	4770647.6	260.53526	93	5624.222656	2339.440674
201.1241	689.8778	4277806500.0	367695300.0	259.73419	94	237872.515625	747632.125
689.8778	201.1241	4277806500.0	367695300.0	259.73419	94	747632.125	237872.515625
401.2886	272.1614	2225631.7	2095452.4	258.73084	95	7515.183105	948.329224
272.1614	401.2886	2225631.7	2095452.4	258.73084	95	948.329224	7515.183105
536.2914	951.5419	14435812.0	14009133.0	257.58585	96	72371.992188	1306.884277
951.5419	536.2914	14435812.0	14009133.0	257.58585	96	1306.884277	72371.992188
531.2979	156.1024	2235068.8	2212339.8	256.74706	97	2339.440674	968.253174
156.1024	531.2979	2235068.8	2212339.8	256.74706	97	968.253174	2339.440674
536.2914	689.8778	155758400.0	127921980.0	256.6089	98	72371.992188	73143.070313
689.8778	536.2914	155758400.0	127921980.0	256.6089	98	73143.070313	72371.992188
587.8402	1107.5126	2543669.9	2510414.4	254.29979	99	1140.753296	1140.27771
1107.5126	587.8402	2543669.9	2510414.4	254.29979	99	1140.27771	1140.753296
300.1564	1008.5639	11133347.0	8090090.7	252.4677	100	33528.605469	3074.820557
1008.5639	300.1564	11133347.0	8090090.7	252.4677	100	3074.820557	33528.605469
504.7846	536.2914	19190205.0	18796053.0	251.90314	101	1582.523926	72371.992188
536.2914	504.7846	19190205.0	18796053.0	251.90314	101	72371.992188	1582.523926
503.2684	401.2886	5296016.8	5197772.8	251.22564	102	1137.894775	7515.183105
401.2886	503.2684	5296016.8	5197772.8	251.22564	102	7515.183105	1137.894775
668.3616	530.2879	8167867.0	7780005.1	250.79354	103	3194.272949	3393.131836
530.2879	668.3616	8167867.0	7780005.1	250.79354	103	3393.131836	3194.272949
1079.6018	415.1839	8157021.2	6558210.8	247.62367	104	4105.001465	16149.670898
415.1839	1079.6018	8157021.2	6558210.8	247.62367	104	16149.670898	4105.001465
754.3995	668.3616	50805209.0	37277926.0	247.26951	105	215703.6875	3194.272949
668.3616	754.3995	50805209.0	37277926.0	247.26951	105	3194.272949	215703.6875
540.3033	482.2628	6743584.2	5930761.3	246.71642	106	29821.267578	798.843811
482.2628	540.3033	6743584.2	5930761.3	246.71642	106	798.843811	29821.267578
540.3033	401.2045	11579866.0	9185715.4	246.18215	107	81014.875	1218.325195
401.2045	540.3033	11579866.0	9185715.4	246.18215	107	1218.325195	81014.875
680.8728	229.119	25410988.0	15023250.0	246.05003	108	969.298584	306551.5625
229.119	680.8728	25410988.0	15023250.0	246.05003	108	306551.5625	969.298584
1079.6018	316.115	1865063.7	1790027.3	245.07952	109	1535.534546	3013.229492
316.115	1079.6018	1865063.7	1790027.3	245.07952	109	3013.229492	1535.534546
383.1944	531.2979	2715634.5	2620795.7	243.15732	110	4092.558594	750.020203
531.2979	383.1944	2715634.5	2620795.7	243.15732	110	750.020203	4092.558594
1091.5547	646.3727	1727259.5	1714773.0	241.89533	111	1144.434814	1163.371216
646.3727	1091.5547	1727259.5	1714773.0	241.89533	111	1163.371216	1144.434814
610.3455	230.1225	9262823.0	7737286.6	241.87892	112	3619.981201	17446.246094
