m/z A	m/z B	Covariance	Partial Cov.	Score	Ranking	charge_A	envelope_id_A	monoisotopic_mass_A	deconvoluted_mz_A	charge_B	envelope_id_B	monoisotopic_mass_B	deconvoluted_mz_B
156.102426	646.851595	-160072.23	-212434.02	-46.612888	8995	1	39	155.0951	156.1024	2	11258	1288.6939	1289.7012
156.102426	653.875096	0.0	0.0	0.0	6464	1	40	155.0951	156.1024	2	11625	1305.7356	1306.7429
156.102426	654.359227	3966448.5	605238.68	14.092697	5489	1	22	155.0951	156.1024	2	11609	1305.7356	1306.7429
156.102426	654.860832	-907148.34	-2423862.4	-103.50469	11443	1	31	155.0951	156.1024	2	11585	1305.7356	1306.7429
156.102426	655.362039	3369752.2	3103358.0	214.82236	160	1	21	155.0951	156.1024	2	11638	1305.7356	1306.7429
156.102426	659.353388	136199.09	114394.62	36.324314	4320	1	9	155.0951	156.1024	1	11785	658.3461	659.3534
156.102426	660.387149	-448354.97	-483812.63	-185.99385	13497	1	1	155.0951	156.1024	2	11964	1318.7597	1319.767
156.102426	660.881708	-190550.48	-217408.29	-57.749765	9539	1	2	155.0951	156.1024	2	11980	1318.7597	1319.767
156.102426	661.357419	-1274591.7	-1431224.0	-185.85926	13493	1	3	155.0951	156.1024	2	12102	1320.7003	1321.7076
156.102426	661.858094	-290967.45	-386247.33	-80.222021	10536	1	4	155.0951	156.1024	2	12094	1320.7003	1321.7076
156.102426	666.887703	670660.21	622808.94	115.09274	1229	1	5	155.0951	156.1024	2	12312	1331.7608	1332.7681
156.102426	667.389809	624832.73	550183.54	84.79838	2183	1	6	155.0951	156.1024	2	12299	1331.7608	1332.7681
156.102426	667.861197	-105822.83	-140838.68	-52.555687	9272	1	7	155.0951	156.1024	2	12510	1333.7078	1334.7151
156.102426	667.887312	-971746.99	-1036678.9	-212.65366	13862	1	8	155.0951	156.1024	2	12318	1331.7608	1332.7681
156.102426	668.361566	730352.23	650643.71	91.721518	1953	1	10	155.0951	156.1024	2	12508	1333.7078	1334.7151
156.102426	668.386186	484878.52	461713.24	112.64386	1298	1	19	155.0951	156.1024	2	12308	1331.7608	1332.7681
156.102426	668.863524	429881.08	382514.55	72.96677	2625	1	11	155.0951	156.1024	2	12475	1333.7078	1334.7151
156.102426	675.365928	-50494.148	-101926.18	-21.790758	7771	1	12	155.0951	156.1024	2	12656	1348.7173	1349.7246
156.102426	675.869221	-224132.48	-264787.15	-70.149652	10095	1	13	155.0951	156.1024	2	12621	1348.7173	1349.7246
156.102426	680.872829	2812604.2	2417635.1	159.53205	481	1	14	155.0951	156.1024	2	12825	1359.7311	1360.7384
156.102426	681.370686	36986.142	-288924.1	-25.940329	7980	1	15	155.0951	156.1024	2	12726	1359.7311	1360.7384
156.102426	681.870748	131488.86	-23325.331	-2.7394194	6769	1	16	155.0951	156.1024	2	12866	1359.7311	1360.7384
156.102426	682.371222	780330.39	439532.64	33.739782	4452	1	17	155.0951	156.1024	2	12795	1359.7311	1360.7384
156.102426	682.872369	402318.27	272439.96	30.822946	4587	1	18	155.0951	156.1024	2	12846	1359.7311	1360.7384
156.102426	683.374046	-96710.849	-143000.7	-46.179139	8980	1	20	155.0951	156.1024	2	12832	1359.7311	1360.7384
156.102426	688.870291	-487668.07	-517923.38	-238.57694	14176	1	87	155.0951	156.1024	2	12961	1375.726	1376.7333
156.102426	689.374307	-197440.79	-280588.5	-47.9836	9051	1	43	155.0951	156.1024	2	12976	1375.726	1376.7333
156.102426	689.877751	34179927.0	11990386.0	121.62583	1079	1	64	155.0951	156.1024	2	13022	1375.726	1376.7333
