m/z A	m/z B	Covariance	Partial Cov.	Score	Ranking
401.2886	661.3574	2587007.4	2508430.4	231.64036	132
1204.639	746.3077	2005251.4	1972433.2	228.59268	133
746.3077	1204.639	2005251.4	1972433.2	228.59268	133
688.8703	524.2845	37005032.0	44001988.0	228.5187	134
524.2845	688.8703	37005032.0	44001988.0	228.5187	134
521.2977	530.621	10195113.0	10189084.0	228.45394	135
530.621	521.2977	10195113.0	10189084.0	228.45394	135
504.7846	753.8961	20922519.0	17632805.0	228.1433	136
753.8961	504.7846	20922519.0	17632805.0	228.1433	136
596.8456	298.1043	5788007.9	4972690.0	226.21695	137
298.1043	596.8456	5788007.9	4972690.0	226.21695	137
504.7846	565.2752	4136849.1	3863778.9	225.21528	138
565.2752	504.7846	4136849.1	3863778.9	225.21528	138
814.482	688.8703	5366195.9	4933586.2	223.86318	139
688.8703	814.482	5366195.9	4933586.2	223.86318	139
661.3574	425.7076	2465754.5	2444555.2	222.89644	140
425.7076	661.3574	2465754.5	2444555.2	222.89644	140
814.482	524.2845	7298465.2	7456391.9	221.9727	141
524.2845	814.482	7298465.2	7456391.9	221.9727	141
183.1134	500.2372	2926748.7	2644747.4	221.91247	142
500.2372	183.1134	2926748.7	2644747.4	221.91247	142
1091.5547	175.1196	2661122.5	2564716.9	220.60072	143
175.1196	1091.5547	2661122.5	2564716.9	220.60072	143
517.2765	504.7846	6333666.0	6132236.7	220.36805	144
504.7846	517.2765	6333666.0	6132236.7	220.36805	144
411.189	540.3033	18342433.0	12867926.0	219.84885	145
540.3033	411.189	18342433.0	12867926.0	219.84885	145
554.2588	401.2886	1235532.6	1226139.9	219.16301	146
401.2886	554.2588	1235532.6	1226139.9	219.16301	146
721.8903	540.3033	4465766.0	4354527.8	218.36561	147
540.3033	721.8903	4465766.0	4354527.8	218.36561	147
653.8751	428.2156	9636905.6	8438541.6	218.1321	148
428.2156	653.8751	9636905.6	8438541.6	218.1321	148
397.1966	397.1732	2397941.1	2330851.1	218.04638	149
397.1732	397.1966	2397941.1	2330851.1	218.04638	149
371.1938	745.3944	10403635.0	8782545.3	217.75219	150
745.3944	371.1938	10403635.0	8782545.3	217.75219	150
528.2686	504.7846	6640848.5	5896153.7	217.50306	151
504.7846	528.2686	6640848.5	5896153.7	217.50306	151
156.1024	753.8961	1386138.1	1334932.9	217.29317	152
753.8961	156.1024	1386138.1	1334932.9	217.29317	152
680.8728	524.2845	8884226.1	8877733.4	217.07103	153
524.2845	680.8728	8884226.1	8877733.4	217.07103	153
300.1564	645.3542	6890493.7	5618428.4	217.01908	154
645.3542	300.1564	6890493.7	5618428.4	217.01908	154
814.482	680.8728	2154056.8	2023439.5	215.43671	155
680.8728	814.482	2154056.8	2023439.5	215.43671	155
300.1564	1107.5126	5090113.4	4106978.7	215.35349	156
1107.5126	300.1564	5090113.4	4106978.7	215.35349	156
721.8903	680.8728	4497260.0	4372244.3	215.17121	157
680.8728	721.8903	4497260.0	4372244.3	215.17121	157
397.1732	596.8456	5196195.5	4708138.1	215.16504	158
596.8456	397.1732	5196195.5	4708138.1	215.16504	158
397.1732	540.3033	9947814.9	8321301.9	214.96881	159
540.3033	397.1732	9947814.9	8321301.9	214.96881	159
653.8751	156.1024	3369752.2	3103358.0	214.82236	160
156.1024	653.8751	3369752.2	3103358.0	214.82236	160
428.2156	688.8703	1712181.1	1676914.2	214.01447	161
688.8703	428.2156	1712181.1	1676914.2	214.01447	161
721.8903	202.1275	4097605.2	3814705.0	213.52509	162
202.1275	721.8903	4097605.2	3814705.0	213.52509	162
725.8786	753.8961	26944532.0	21377403.0	213.27547	163
753.8961	725.8786	26944532.0	21377403.0	213.27547	163
688.8703	425.7076	19563332.0	17029849.0	212.62151	164
425.7076	688.8703	19563332.0	17029849.0	212.62151	164
660.3871	202.1275	3316084.1	3090724.7	212.33042	165
202.1275	660.3871	3316084.1	3090724.7	212.33042	165
540.3033	383.1944	4499412.2	4099854.6	212.30366	166
383.1944	540.3033	4499412.2	4099854.6	212.30366	166
1079.6018	524.2845	1924633.8	1935911.2	212.00071	167
524.2845	1079.6018	1924633.8	1935911.2	212.00071	167
645.3542	675.3659	2860665.0	2793615.4	210.91936	168
675.3659	645.3542	2860665.0	2793615.4	210.91936	168
667.8612	316.115	3126558.6	3027179.5	210.64295	169
316.115	667.8612	3126558.6	3027179.5	210.64295	169
510.2578	504.7846	3906235.1	3691086.4	209.19344	170
504.7846	510.2578	3906235.1	3691086.4	209.19344	170
645.3542	300.1564	8856009.5	7193754.0	209.11204	171
300.1564	645.3542	8856009.5	7193754.0	209.11204	171
645.3542	587.8402	2599059.3	2497468.1	208.61644	172
587.8402	645.3542	2599059.3	2497468.1	208.61644	172
528.2686	599.3058	1176539.8	1142658.9	208.1216	173
599.3058	528.2686	1176539.8	1142658.9	208.1216	173
680.8728	460.254	5119128.3	5057939.6	207.5756	174
460.254	680.8728	5119128.3	5057939.6	207.5756	174
530.621	596.8456	22467320.0	22278273.0	207.27596	175
596.8456	530.621	22467320.0	22278273.0	207.27596	175
401.2886	554.2588	3491298.0	3390644.0	206.38723	176
554.2588	401.2886	3491298.0	3390644.0	206.38723	176
1079.6018	401.2045	1002681.7	966358.01	206.14817	177
401.2045	1079.6018	1002681.7	966358.01	206.14817	177
745.3944	1008.5639	12799384.0	10076784.0	205.7776	178
1008.5639	745.3944	12799384.0	10076784.0	205.7776	178
195.0884	500.2372	931339.21	882820.76	205.13638	179
500.2372	195.0884	931339.21	882820.76	205.13638	179
554.2588	482.2264	1385673.9	1360237.7	204.77665	180
482.2264	554.2588	1385673.9	1360237.7	204.77665	180
531.7942	565.2752	4507056.8	4154874.6	204.67544	181
565.2752	531.7942	4507056.8	4154874.6	204.67544	181
565.2752	201.0877	1762641.7	1649595.5	204.57254	182
201.0877	565.2752	1762641.7	1649595.5	204.57254	182
500.2734	540.3033	4703866.1	4364076.4	204.37147	183
540.3033	500.2734	4703866.1	4364076.4	204.37147	183
486.2212	745.3944	4043893.4	3738435.8	203.95221	184
745.3944	486.2212	4043893.4	3738435.8	203.95221	184
230.1225	951.5419	7054332.3	5812419.3	203.55953	185
951.5419	230.1225	7054332.3	5812419.3	203.55953	185
622.2969	535.9558	2118349.5	2022818.7	203.54696	186
535.9558	622.2969	2118349.5	2022818.7	203.54696	186
371.1938	530.621	3817809.6	3501299.8	203.54519	187
530.621	371.1938	3817809.6	3501299.8	203.54519	187
753.8961	156.1024	5141435.4	4365929.8	203.34108	188
156.1024	753.8961	5141435.4	4365929.8	203.34108	188
500.3575	187.072	1850113.2	1748763.0	203.00327	189
187.072	500.3575	1850113.2	1748763.0	203.00327	189
383.1944	540.3033	13181541.0	9855515.3	202.6454	190
540.3033	383.1944	13181541.0	9855515.3	202.6454	190
596.8456	535.8501	14446394.0	12330389.0	202.5912	191
535.8501	596.8456	14446394.0	12330389.0	202.5912	191
175.1196	397.1732	2164892.8	2034539.5	202.46112	192
397.1732	175.1196	2164892.8	2034539.5	202.46112	192
1008.5639	300.1564	3648335.0	3075845.6	202.09038	193
300.1564	1008.5639	3648335.0	3075845.6	202.09038	193
587.8402	230.1225	3062750.4	2837634.9	202.07913	194
230.1225	587.8402	3062750.4	2837634.9	202.07913	194
731.9127	596.8456	9552728.6	8442639.2	201.91651	195
596.8456	731.9127	9552728.6	8442639.2	201.91651	195
487.2661	540.3033	11229093.0	9980478.2	201.69305	196
540.3033	487.2661	11229093.0	9980478.2	201.69305	196
554.2588	540.3033	7545312.6	7031096.2	201.2885	197
540.3033	554.2588	7545312.6	7031096.2	201.2885	197
565.2752	524.2845	4305578.4	4302086.3	200.77936	198
524.2845	565.2752	4305578.4	4302086.3	200.77936	198
653.8751	736.3898	4668402.7	4734495.8	200.29325	199
736.3898	653.8751	4668402.7	4734495.8	200.29325	199
587.8402	688.8703	3342952.6	3264601.0	200.25359	200
688.8703	587.8402	3342952.6	3264601.0	200.25359	200
721.8903	530.621	5589651.3	5580640.2	199.8746	201
530.621	721.8903	5589651.3	5580640.2	199.8746	201
202.1275	415.1839	11537029.0	8129220.4	199.66286	202
415.1839	202.1275	11537029.0	8129220.4	199.66286	202
688.8703	300.1564	5739131.9	4495679.7	199.28622	203
300.1564	688.8703	5739131.9	4495679.7	199.28622	203
460.254	195.0884	1049176.7	1028308.4	198.94244	204
195.0884	460.254	1049176.7	1028308.4	198.94244	204
694.319	524.2845	1855918.5	1842533.2	198.6392	205
524.2845	694.319	1855918.5	1842533.2	198.6392	205
814.482	1204.639	2941428.7	2857681.7	198.35587	206
1204.639	814.482	2941428.7	2857681.7	198.35587	206
476.2737	666.8877	9320798.2	8552590.6	198.05663	207
666.8877	476.2737	9320798.2	8552590.6	198.05663	207
428.2156	1079.6018	1697502.2	1601039.2	197.49815	208
1079.6018	428.2156	1697502.2	1601039.2	197.49815	208
645.3542	688.8703	3056367.2	2963243.6	197.45493	209
688.8703	645.3542	3056367.2	2963243.6	197.45493	209
535.9558	745.3944	26967017.0	25910964.0	197.40854	210
745.3944	535.9558	26967017.0	25910964.0	197.40854	210
495.7791	482.2264	1305855.0	1269591.7	197.39157	211
482.2264	495.7791	1305855.0	1269591.7	197.39157	211
486.2212	487.2661	1078401.9	1067419.3	197.39122	212
487.2661	486.2212	1078401.9	1067419.3	197.39122	212
300.1564	565.2752	4996816.4	3908741.3	197.33418	213
565.2752	300.1564	4996816.4	3908741.3	197.33418	213
316.115	596.8456	15212923.0	11166266.0	197.28109	214
596.8456	316.115	15212923.0	11166266.0	197.28109	214
1107.5126	530.621	1854303.8	1824211.0	197.12293	215
530.621	1107.5126	1854303.8	1824211.0	197.12293	215
540.3033	535.9558	11127279.0	10480731.0	196.70146	216
535.9558	540.3033	11127279.0	10480731.0	196.70146	216
596.8456	524.2845	14681411.0	14644666.0	196.4688	217
524.2845	596.8456	14681411.0	14644666.0	196.4688	217
272.1614	1008.5639	1470926.7	1395404.2	195.89673	218
1008.5639	272.1614	1470926.7	1395404.2	195.89673	218
266.1257	667.8612	1808205.1	1741682.7	195.60558	219
667.8612	266.1257	1808205.1	1741682.7	195.60558	219
1079.6018	653.8751	9493787.3	7945141.7	195.59879	220
653.8751	1079.6018	9493787.3	7945141.7	195.59879	220
524.2845	398.2324	2060130.0	2052947.7	195.54396	221
398.2324	524.2845	2060130.0	2052947.7	195.54396	221
667.8612	482.2264	2366782.8	2258494.3	195.36681	222
482.2264	667.8612	2366782.8	2258494.3	195.36681	222
680.8728	535.9558	6167491.4	5902035.8	195.11453	223
535.9558	680.8728	6167491.4	5902035.8	195.11453	223
288.204	603.7931	1882714.5	1767910.9	194.80933	224
603.7931	288.204	1882714.5	1767910.9	194.80933	224
540.3033	745.3944	4648536.6	4522137.3	194.77948	225
745.3944	540.3033	4648536.6	4522137.3	194.77948	225
524.2845	187.072	1863029.5	1870297.5	194.73115	226
187.072	524.2845	1863029.5	1870297.5	194.73115	226
494.2378	565.2752	832250.94	828289.23	194.69976	227
565.2752	494.2378	832250.94	828289.23	194.69976	227
666.8877	500.3575	3851149.7	3565635.1	194.69887	228
500.3575	666.8877	3851149.7	3565635.1	194.69887	228
660.3871	230.1225	3462517.7	3104286.2	194.49371	229
230.1225	660.3871	3462517.7	3104286.2	194.49371	229
540.3033	528.2686	5808763.1	5065202.4	194.44411	230
528.2686	540.3033	5808763.1	5065202.4	194.44411	230
554.2588	288.204	1970440.7	1928192.6	194.44324	231
288.204	554.2588	1970440.7	1928192.6	194.44324	231
688.8703	1107.5126	26001276.0	14528616.0	194.29123	232
1107.5126	688.8703	26001276.0	14528616.0	194.29123	232
879.3997	666.8877	2153427.2	2075179.6	193.88535	233
666.8877	879.3997	2153427.2	2075179.6	193.88535	233
300.1564	625.8395	4598272.6	4175387.5	193.73953	234
625.8395	300.1564	4598272.6	4175387.5	193.73953	234
753.8961	680.8728	3029857.3	2803536.2	193.71195	235
680.8728	753.8961	3029857.3	2803536.2	193.71195	235
530.621	482.2628	1623292.4	1604087.8	193.64497	236
482.2628	530.621	1623292.4	1604087.8	193.64497	236
1008.5639	517.2765	2440608.3	2350751.3	193.57978	237
517.2765	1008.5639	2440608.3	2350751.3	193.57978	237
565.2752	659.3534	2113115.7	1999007.2	192.78545	238
659.3534	565.2752	2113115.7	1999007.2	192.78545	238
202.1275	535.8501	3190130.4	2956431.6	192.67777	239
535.8501	202.1275	3190130.4	2956431.6	192.67777	239
371.1938	510.2578	1099729.0	1042582.4	192.46495	240
510.2578	371.1938	1099729.0	1042582.4	192.46495	240
