m/z A	m/z B	Covariance	Partial Cov.	Score	Ranking	intensity A	intensity B	line_id
694.31898	814.48198	14738272.0	14129983.0	603.27517	23	1683.645386	21098.802734	4
814.48198	694.31898	14738272.0	14129983.0	603.27517	23	21098.802734	1683.645386	4
500.23697999999996	1008.56398	7213199.7	6870218.2	414.41006	46	1889.202759	9142.976563	4
1008.56398	500.23697999999996	7213199.7	6870218.2	414.41006	46	9142.976563	1889.202759	4
401.28898	1107.51298	6112000.6	5922276.2	535.28676	29	7515.183105	1140.27771	4
1107.51298	401.28898	6112000.6	5922276.2	535.28676	29	1140.27771	7515.183105	4
814.48198	694.31898	3093021.7	2972980.5	302.42569	74	5392.56543	1683.645386	5
694.31898	814.48198	3093021.7	2972980.5	302.42569	74	1683.645386	5392.56543	5
500.23697999999996	1008.56398	2615579.5	2454846.6	263.66543	90	1889.202759	3074.820557	5
1008.56398	500.23697999999996	2615579.5	2454846.6	263.66543	90	3074.820557	1889.202759	5
1080.60498	429.19998	1697502.2	1601039.2	197.49815	208	1535.534546	3445.552979	5
429.19998	1080.60498	1697502.2	1601039.2	197.49815	208	3445.552979	1535.534546	5
1107.51298	401.28898	600326.27	582621.93	172.83284	359	1140.27771	877.062744	5
401.28898	1107.51298	600326.27	582621.93	172.83284	359	877.062744	1140.27771	5
528.26898	540.30313	5808763.1	5065202.4	194.44411	230	1108.264771	29821.267578	6
300.15598	654.35913	38377238.0	30956076.0	419.96469	44	33528.605469	9481.617188	6
528.26898	540.30313	3965593.0	3469036.4	172.40543	366	5624.222656	4290.990234	6
300.15598	654.35913	15693812.0	11968919.0	265.64883	87	2384.458984	48794.230469	6
1008.56398	301.15963	3648335.0	3075845.6	202.09038	193	9142.976563	2384.458984	6
429.19998	540.30313	44225812.0	37867784.0	538.93573	28	3445.552979	81014.875	7
201.08798000000002	654.35913	14937832.0	12864929.0	315.89419	67	1032.938354	108949.34375	7
401.28898	554.25863	9359177.6	8786286.2	422.41763	42	7515.183105	2905.465332	7
316.11498	596.84563	15212923.0	11166266.0	197.28109	214	3013.229492	61967.726563	7
500.23697999999996	504.78463	15315214.0	13897635.0	341.05157	60	1889.202759	31507.433594	7
